Id,Cn,Tc,En
1057,"字子义，东莱黄县人。东汉末年名将，弓马熟练，箭法精良。民间形象以单骑北海突出重围求救，情义无双而出名。太史慈原为刘繇部下，后被孙策收降，自此太史慈为孙氏大将，助其扫荡江东。
孙权统事后，因太史慈能制刘磐，便将管理南方的要务委托给他。206年，太史慈逝世。","字子義，東萊黃縣人。東漢末年名將，弓馬熟練，箭法精良。民間形象以單騎北海突出重圍求救，情義無雙而出名。太史慈原爲劉繇部下，後被孫策收降，自此太史慈爲孫氏大將，助其掃蕩江東。
孫權統事後，因太史慈能制劉磐，便將管理南方的要務委托給他。206年，太史慈逝世。",
1058,字元皓，巨鹿人。袁绍部下，官至冀州别驾。其为人刚直，曾多次向袁绍进言而不被采纳，曹操部下谋臣荀彧曾评价他“刚而犯上”。后因谏阻袁绍征伐曹操而被袁绍下令监禁。官渡之战后，田丰被袁绍杀害。,字元皓，巨鹿人。袁紹部下，官至冀州別駕。其爲人剛直，曾多次向袁紹進言而不被采納，曹操部下謀臣荀彧曾評價他“剛而犯上”。後因谏阻袁紹征伐曹操而被袁紹下令監禁。官渡之戰後，田豐被袁紹殺害。,
1059,"东海郯县人。三国时期曹魏经学家王朗之孙女，晋文帝司马昭妻子。
幼时便通《诗经》、《论语》，嫁司马昭后竭尽妇道、谦虚谨慎。其人颇有远见，曾预言钟会谋反之事。司马炎建立西晋，尊王元姬为皇太后，宫号曰崇化宫。王元姬身处太后之位，提倡节俭，身体力行，作为表率。
268年，王元姬崩逝，终年五十二岁，谥号文明皇后，与司马昭合葬于崇阳陵。
","東海郯縣人。三國時期曹魏經學家王朗之孫女，晉文帝司馬昭妻子。
幼時便通《詩經》、《論語》，嫁司馬昭後竭盡婦道、謙虛謹慎。其人頗有遠見，曾預言鍾會謀反之事。司馬炎建立西晉，尊王元姬爲皇太後，宮號曰崇化宮。王元姬身處太後之位，提倡節儉，身體力行，作爲表率。
268年，王元姬崩逝，終年五十二歲，谥號文明皇後，與司馬昭合葬于崇陽陵。",
1060,"字文长，义阳人。三国时期蜀汉名将，早先出仕刘表、韩玄，后降蜀汉，深受刘备器重。
刘备入川时因数有战功被任命为牙门将军，刘备攻下汉中后又将其破格提拔为镇远将军，领汉中太守，镇守汉中，成为独当一方的大将。魏延镇守汉中近十年，之后又屡次随诸葛亮北伐，功绩显着。期间魏延多次请诸葛亮给他统领一万兵，另走一路攻关中，最后与诸葛亮会师于潼关，如同韩信的例子，但诸葛亮一直不许，因而认为自己无法完全发挥才能，心怀不满。
与长史杨仪不和，诸葛亮死后，两人矛盾激化，相互争权，魏延败逃，为马岱所追斩，并被夷灭三族。","字文長，義陽人。三國時期蜀漢名將，早先出仕劉表、韓玄，後降蜀漢，深受劉備器重。
劉備入川時因數有戰功被任命爲牙門將軍，劉備攻下漢中後又將其破格提拔爲鎮遠將軍，領漢中太守，鎮守漢中，成爲獨當一方的大將。魏延鎮守漢中近十年，之後又屢次隨諸葛亮北伐，功績顯著。期間魏延多次請諸葛亮給他統領一萬兵，另走一路攻關中，最後與諸葛亮會師于潼關，如同韓信的例子，但諸葛亮一直不許，因而認爲自己無法完全發揮才能，心懷不滿。
與長史楊儀不和，諸葛亮死後，兩人矛盾激化，相互爭權，魏延敗逃，爲馬岱所追斬，並被夷滅三族。",
1061,"南蛮乌戈国之主，是身长十二尺的巨汉。
孟获遭到六擒六纵之后向兀突骨救援，兀突骨亲自带领两名兵长土安、奚泥及三万藤甲兵去攻蜀。在连胜魏延十五阵之后，追击至蟠蛇谷，被诸葛亮埋伏，以火攻反击之，兀突骨及其三万部下全部战死。
","南蠻烏戈國之主，是身長十二尺的巨漢。
孟獲遭到六擒六縱之後向兀突骨救援，兀突骨親自帶領兩名兵長土安、奚泥及三萬藤甲兵去攻蜀。在連勝魏延十五陣之後，追擊至蟠蛇谷，被諸葛亮埋伏，以火攻反擊之，兀突骨及其三萬部下全部戰死。",
1062,"字元让，沛国谯人。东汉末年名将，曹魏开国元勋，西汉开国元勋夏侯婴的后代，曹操的族人。是曹军的首席将领，留有【拔矢啖睛】的传世典故。
少年时以勇气闻名于乡里。曹操起兵，夏侯惇是其最早的将领之一。多次为曹操镇守后方，曾率军民阻断太寿河水，筑陂塘灌溉农田，使百姓受益，功勋卓著。历任折冲校尉、济阴太守、建武将军，官至大将军，封高安乡侯，追谥忠侯。夏侯惇一生虽多在军旅，但仍不忘治学。他常亲自迎师，虚心求教。他为人俭朴，所得赏赐全部分给将士。一生不置产业，至死家无余财。","字元讓，沛國谯人。東漢末年名將，曹魏開國元勳，西漢開國元勳夏侯嬰的後代，曹操的族人。是曹軍的首席將領，留有【拔矢啖睛】的傳世典故。
少年時以勇氣聞名于鄉裏。曹操起兵，夏侯惇是其最早的將領之一。多次爲曹操鎮守後方，曾率軍民阻斷太壽河水，築陂塘灌溉農田，使百姓受益，功勳卓著。曆任折衝校尉、濟陰太守、建武將軍，官至大將軍，封高安鄉侯，追谥忠侯。夏侯惇一生雖多在軍旅，但仍不忘治學。他常親自迎師，虛心求教。他爲人儉樸，所得賞賜全部分給將士。一生不置産業，至死家無余財。",
1063,"曹军的砥柱，东汉末年名将，擅长千里奔袭作战，官至征西将军，封博昌亭侯。
初期随曹操征伐，官渡之战为曹操督运粮草，又督诸将先后平定昌豨、徐和、雷绪、商曜等叛乱。后率军驻凉州，逐马超、破韩遂、灭宋建、横扫羌、氐，虎步关右。张鲁降曹操后夏侯渊留守汉中，与刘备相拒逾年，于定军山被刘备部将黄忠所袭，战死，谥曰愍侯。","曹軍的砥柱，東漢末年名將，擅長千裏奔襲作戰，官至征西將軍，封博昌亭侯。
初期隨曹操征伐，官渡之戰爲曹操督運糧草，又督諸將先後平定昌豨、徐和、雷緒、商曜等叛亂。後率軍駐涼州，逐馬超、破韓遂、滅宋建、橫掃羌、氐，虎步關右。張魯降曹操後夏侯淵留守漢中，與劉備相拒逾年，于定軍山被劉備部將黃忠所襲，戰死，谥曰愍侯。",
1064,"庐江皖县乔国老次女，秀美绝伦，貌压群芳，又琴棋书画无所不通周瑜攻取皖城，迎娶小乔为妻。周郎小乔英雄美女、郎才女貌 ，被流传为千古佳话。

","廬江皖縣喬國老次女，秀美絕倫，貌壓群芳，又琴棋書畫無所不通周瑜攻取皖城，迎娶小喬爲妻。周郎小喬英雄美女、郎才女貌 ，被流傳爲千古佳話。
",
1065,"三国时期曹魏名将。本为杨奉帐下骑都尉，杨奉被曹操击败后转投曹操，在曹操手下多立功勋，参与官渡、赤壁、关中征伐、汉中征伐等几次重大战役。
樊城之战中徐晃作为曹仁的援军击败关羽，与交谊深厚的关羽作战，依然善战且不念私情，此役中治军严整而被曹操称赞“有周亚夫之风”。
曹丕称帝后，徐晃被加为右将军，于公元227年病逝，谥曰壮侯。","三國時期曹魏名將。本爲楊奉帳下騎都尉，楊奉被曹操擊敗後轉投曹操，在曹操手下多立功勳，參與官渡、赤壁、關中征伐、漢中征伐等幾次重大戰役。
樊城之戰中徐晃作爲曹仁的援軍擊敗關羽，與交誼深厚的關羽作戰，依然善戰且不念私情，此役中治軍嚴整而被曹操稱贊“有周亞夫之風”。
曹丕稱帝後，徐晃被加爲右將軍，于公元227年病逝，谥曰壯侯。",
1066,"刘备最初的军师，于新野之战带来胜利的契机，日后却无奈出仕曹操。因中原战乱，客居于荆州，与诸葛亮、司马徽、庞统等人相友善。后徐庶向刘备推荐了诸葛亮。
长坂之战时，徐庶的母亲被曹军抓获，于是徐庶北投曹操，在魏官至右中郎将、御史中丞。","劉備最初的軍師，于新野之戰帶來勝利的契機，日後卻無奈出仕曹操。因中原戰亂，客居于荊州，與諸葛亮、司馬徽、龐統等人相友善。後徐庶向劉備推薦了諸葛亮。
長坂之戰時，徐庶的母親被曹軍抓獲，于是徐庶北投曹操，在魏官至右中郎將、禦史中丞。",
1067,"曹操近卫队长。典韦死后，常侍曹操左右，解救了许多危机。与葛陂贼交战时在箭矢耗尽的情况下掷石攻敌，后在粮食短缺的情况下诈作与贼和解并以耕牛交换粮食，但在牛突然狂奔的情况下抓住牛尾倒行百余步，由此在淮汝一带的人提起许褚之名皆畏惮。
曹操复屯官渡时发现欲谋害曹操者，更全部杀掉。关中之战时左手拿马鞍，右手划船护曹操安然渡河。后来曹操与马韩会面时只让许褚相随，会面期间马超欲袭曹操，但听闻许褚之名便怀疑从骑就是许褚，便问曹操虎侯安在，曹操指着许褚;许褚怒视马超以令他放弃，自此天下皆以此称呼许褚。
当曹操去世时许褚哭至吐血，曹丕迁其作武卫将军，负责宫中安全。曹叡继位时封其为牟乡侯，谥曰壮侯。","曹操近衛隊長。典韋死後，常侍曹操左右，解救了許多危機。與葛陂賊交戰時在箭矢耗盡的情況下擲石攻敵，後在糧食短缺的情況下詐作與賊和解並以耕牛交換糧食，但在牛突然狂奔的情況下抓住牛尾倒行百余步，由此在淮汝一帶的人提起許褚之名皆畏憚。
曹操複屯官渡時發現欲謀害曹操者，更全部殺掉。關中之戰時左手拿馬鞍，右手劃船護曹操安然渡河。後來曹操與馬韓會面時只讓許褚相隨，會面期間馬超欲襲曹操，但聽聞許褚之名便懷疑從騎就是許褚，便問曹操虎侯安在，曹操指著許褚;許褚怒視馬超以令他放棄，自此天下皆以此稱呼許褚。
當曹操去世時許褚哭至吐血，曹丕遷其作武衛將軍，負責宮中安全。曹叡繼位時封其爲牟鄉侯，谥曰壯侯。",
1068,"东汉末年著名政治家、战略家，曹操统一北方的首席谋臣和功臣，被称为“王佐之才”。
曾被袁绍待为上宾。后投奔曹操。官至侍中，守尚书令，封万岁亭侯。居中持重达十数年，处理军国事务，被人敬称为“荀令君”。后因反对曹操称魏公而受曹操所忌，调离中枢，在寿春忧郁成病而亡。死后被追谥为敬侯，后又被追赠太尉。
在战略方面为曹操规划制定了统一北方的蓝图和军事路线，政治方面为曹操举荐了钟繇、荀攸、陈群、杜袭、戏志才、郭嘉等大量人才。被曹操称为“吾之子房”。","東漢末年著名政治家、戰略家，曹操統一北方的首席謀臣和功臣，被稱爲“王佐之才”。
曾被袁紹待爲上賓。後投奔曹操。官至侍中，守尚書令，封萬歲亭侯。居中持重達十數年，處理軍國事務，被人敬稱爲“荀令君”。後因反對曹操稱魏公而受曹操所忌，調離中樞，在壽春憂郁成病而亡。死後被追谥爲敬侯，後又被追贈太尉。
在戰略方面爲曹操規劃制定了統一北方的藍圖和軍事路線，政治方面爲曹操舉薦了鍾繇、荀攸、陳群、杜襲、戲志才、郭嘉等大量人才。被曹操稱爲“吾之子房”。",
1069,"东汉末年武将，初为刘璋部下，担任巴郡太守。
建安十九年，刘备进攻江州，严颜战败被俘，张飞对严颜说：“大军至，何以不降而敢拒战？”，严颜回答说：“卿等无状，侵夺我州，我州但有断头将军，无降将军也！”，张飞生气，命左右将严颜牵去砍头，严颜表情不变地说：“砍头便砍头，何为怒邪！”张飞敬佩严颜的勇气，遂释放严颜并以严颜为宾客，之后的事迹不在正史中出现。","東漢末年武將，初爲劉璋部下，擔任巴郡太守。
建安十九年，劉備進攻江州，嚴顔戰敗被俘，張飛對嚴顔說：“大軍至，何以不降而敢拒戰？”，嚴顔回答說：“卿等無狀，侵奪我州，我州但有斷頭將軍，無降將軍也！”，張飛生氣，命左右將嚴顔牽去砍頭，嚴顔表情不變地說：“砍頭便砍頭，何爲怒邪！”張飛敬佩嚴顔的勇氣，遂釋放嚴顔並以嚴顔爲賓客，之後的事迹不在正史中出現。",
1070,"东汉末年冀州牧袁绍帐下的大将。200年，袁绍命文丑率军于延津攻曹操，曹操以诱敌之计大破文丑一军，文丑于此战中丧生。
《三国演义》中，孙坚私藏玉玺被袁绍识破，颜良、文丑与程普、黄盖、韩当拔剑掣刀相对。袁绍计逼韩馥，夺取冀州之时，关纯行刺袁绍，被文丑斩杀。磐河一战，文丑策马挺枪，直杀上桥，十余合大败公孙瓒，追击时，被瓒手下四健将围攻，丑一枪刺一将下马，其余三将逃走，又与赵云大战60回合不分胜负，随后与颜良为先锋，击公孙瓒。
曹、袁交兵，先锋颜良攻白马被斩，文丑领军为其报仇，据延津挑战曹操，却中饵敌之计而军乱，文丑挺身独战，射退张辽，与徐晃大战三十合不分胜败，追击中正遇关羽，战不三合，心怯欲走，被关羽赶上斩于马下。
","東漢末年冀州牧袁紹帳下的大將。200年，袁紹命文醜率軍于延津攻曹操，曹操以誘敵之計大破文醜一軍，文醜于此戰中喪生。
《三國演義》中，孫堅私藏玉玺被袁紹識破，顔良、文醜與程普、黃蓋、韓當拔劍掣刀相對。袁紹計逼韓馥，奪取冀州之時，關純行刺袁紹，被文醜斬殺。磐河一戰，文醜策馬挺槍，直殺上橋，十余合大敗公孫瓒，追擊時，被瓒手下四健將圍攻，醜一槍刺一將下馬，其余三將逃走，又與趙雲大戰60回合不分勝負，隨後與顔良爲先鋒，擊公孫瓒。
曹、袁交兵，先鋒顔良攻白馬被斬，文醜領軍爲其報仇，據延津挑戰曹操，卻中餌敵之計而軍亂，文醜挺身獨戰，射退張遼，與徐晃大戰三十合不分勝敗，追擊中正遇關羽，戰不三合，心怯欲走，被關羽趕上斬于馬下。",
1071,未来的麒麟儿,未來的麒麟兒,
1072,甚得人心的道士。在吴郡、会稽一带为百姓治病。被孙策以“惑乱人心”的罪名逮捕。孙策表示只要他能唤雨就饶了他，可最终在他唤雨后依然处死了他。,甚得人心的道士。在吳郡、會稽一帶爲百姓治病。被孫策以“惑亂人心”的罪名逮捕。孫策表示只要他能喚雨就饒了他，可最終在他喚雨後依然處死了他。,
1073,"字文则，泰山钜平人。魏国名将。本为鲍信部将，后属曹操，曾于张绣造反时讨伐不守军纪的青州兵，同时为迎击敌军而固守营垒，因此曹操称赞他可与古代名将相比。
但在219年的襄樊之战中，于禁在败给关羽后投降，致使晚节不保。关羽败亡后，于禁从荆州获释到了吴国。221年，孙权遣还于禁回魏，同年去世，谥曰厉侯。","字文則，泰山钜平人。魏國名將。本爲鮑信部將，後屬曹操，曾于張繡造反時討伐不守軍紀的青州兵，同時爲迎擊敵軍而固守營壘，因此曹操稱贊他可與古代名將相比。
但在219年的襄樊之戰中，于禁在敗給關羽後投降，致使晚節不保。關羽敗亡後，于禁從荊州獲釋到了吳國。221年，孫權遣還于禁回魏，同年去世，谥曰厲侯。",
1074,字本初，汝南汝阳人，东汉末年军阀。初为何进党羽，何进被杀后，与袁术等共同诛杀宦官，并成为反董卓联盟首领。董卓死后，为扩大势力范围而相继占领青州、并州、幽州，在河北建立起庞大的势力。200年，发动官渡之战，遣七十万大军越过黄河，在官渡与曹操一决雌雄，却因乌巢粮仓被烧导致军心大乱，惨败。不久，发病而死。,字本初，汝南汝陽人，東漢末年軍閥。初爲何進黨羽，何進被殺後，與袁術等共同誅殺宦官，並成爲反董卓聯盟首領。董卓死後，爲擴大勢力範圍而相繼占領青州、並州、幽州，在河北建立起龐大的勢力。200年，發動官渡之戰，遣七十萬大軍越過黃河，在官渡與曹操一決雌雄，卻因烏巢糧倉被燒導致軍心大亂，慘敗。不久，發病而死。,
1075,"字公路，汝南汝阳人，袁逢之嫡次子，袁基、袁绍之弟。早年何进被中常侍张让等所杀，袁术与吴匡诛杀宦官，董卓进京后，袁术畏祸出奔南阳。参与诸侯讨董，后被袁绍、曹操击败，奔九江，割据扬州。
197年从孙坚手中谋得玉玺后称帝，但不被世人所认。此后袁术奢侈荒淫，横征暴敛，使江淮地区残破不堪，部众离心，先后为吕布、曹操所破，元气大伤，199年呕血而死。","字公路，汝南汝陽人，袁逢之嫡次子，袁基、袁紹之弟。早年何進被中常侍張讓等所殺，袁術與吳匡誅殺宦官，董卓進京後，袁術畏禍出奔南陽。參與諸侯討董，後被袁紹、曹操擊敗，奔九江，割據揚州。
197年從孫堅手中謀得玉玺後稱帝，但不被世人所認。此後袁術奢侈荒淫，橫征暴斂，使江淮地區殘破不堪，部衆離心，先後爲呂布、曹操所破，元氣大傷，199年嘔血而死。",
1076,晋宣穆皇后，河内平皋人，曹魏粟邑令张汪之女，晋宣帝司马懿之妻，晋景帝司马师和晋文帝司马昭的母亲。247年，张春华去世，时年五十九岁，葬于洛阳高原陵，追赠广平县君。,晉宣穆皇後，河內平臯人，曹魏粟邑令張汪之女，晉宣帝司馬懿之妻，晉景帝司馬師和晉文帝司馬昭的母親。247年，張春華去世，時年五十九歲，葬于洛陽高原陵，追贈廣平縣君。,
1077,"字翼德，幽州涿郡人，三国时期蜀汉名将。张飞以其勇猛、鲁莽、嫉恶如仇而著称，蜀汉五虎上将之一，人称猛张飞。
刘备长坂坡败退，张飞仅率二十骑断后，据水断桥，曹军没人敢逼近；与诸葛亮、赵云扫荡西川时，于江州义释严颜；汉中之战时又于宕渠击败张郃，对蜀汉贡献极大，官至车骑将军、领司隶校尉，封西乡侯，后被范强、张达刺杀。后主时代追谥为“桓侯”。","字翼德，幽州涿郡人，三國時期蜀漢名將。張飛以其勇猛、魯莽、嫉惡如仇而著稱，蜀漢五虎上將之一，人稱猛張飛。
劉備長坂坡敗退，張飛僅率二十騎斷後，據水斷橋，曹軍沒人敢逼近；與諸葛亮、趙雲掃蕩西川時，于江州義釋嚴顔；漢中之戰時又于宕渠擊敗張郃，對蜀漢貢獻極大，官至車騎將軍、領司隸校尉，封西鄉侯，後被範強、張達刺殺。後主時代追谥爲“桓侯”。",
1078,"字儁乂，河间鄚人。曹魏名将，五子良将之一。张郃戎马一生，以用兵巧变、善列营阵，长于利用地形著称。
早年应募镇压黄巾起义，后属韩馥为军司马。191年，袁绍取冀州，张郃率兵投归，任校尉。因破公孙瓒有功，迁为宁国中郎将。后在官渡之战中投降曹操。此后，随曹操攻乌桓、破马超、降张鲁，屡建战功。继与都护将军夏侯渊留守汉中。215年，率军进攻巴西宕渠，被蜀将张飞击败。219年，从夏侯渊迎战刘备军于定军山，当夏侯渊战死，全军危急之际，张郃代帅率部安全撤退。曹丕称帝后，奉命从曹真击平安定羌胡，后与夏侯尚围攻江陵。228年，随曹真西拒诸葛亮，在街亭大败蜀军。231年，领兵追击蜀军，至木门中箭亡。","字儁乂，河間鄚人。曹魏名將，五子良將之一。張郃戎馬一生，以用兵巧變、善列營陣，長于利用地形著稱。
早年應募鎮壓黃巾起義，後屬韓馥爲軍司馬。191年，袁紹取冀州，張郃率兵投歸，任校尉。因破公孫瓒有功，遷爲甯國中郎將。後在官渡之戰中投降曹操。此後，隨曹操攻烏桓、破馬超、降張魯，屢建戰功。繼與都護將軍夏侯淵留守漢中。215年，率軍進攻巴西宕渠，被蜀將張飛擊敗。219年，從夏侯淵迎戰劉備軍于定軍山，當夏侯淵戰死，全軍危急之際，張郃代帥率部安全撤退。曹丕稱帝後，奉命從曹真擊平安定羌胡，後與夏侯尚圍攻江陵。228年，隨曹真西拒諸葛亮，在街亭大敗蜀軍。231年，領兵追擊蜀軍，至木門中箭亡。",
1079,鉅鹿人。中国东汉末年农民起义军“黄巾军”的领袖，太平道的创始人。中平元年，张角以“苍天已死，黄天当立，岁在甲子，天下大吉”为口号，自称“天公将军”，率领群众发动起义，史称“黄巾起义”。不久张角病死，起义军也很快被汉朝所镇压。,鉅鹿人。中國東漢末年農民起義軍“黃巾軍”的領袖，太平道的創始人。中平元年，張角以“蒼天已死，黃天當立，歲在甲子，天下大吉”爲口號，自稱“天公將軍”，率領群衆發動起義，史稱“黃巾起義”。不久張角病死，起義軍也很快被漢朝所鎮壓。,
1080,"字文远，雁门马邑人。曹魏名将。曾从属丁原、董卓、吕布。下邳之战后，归顺曹操。
此后随曹操征讨，战功累累。215年，逍遥津之战，以七千之众大破东吴十万大军，威震四海。曹丕登基后，仍令张辽守御孙权。黄初三年，张辽不负众望，抱病击破吴将吕范。同年在江都病逝，谥刚侯。
","字文遠，雁門馬邑人。曹魏名將。曾從屬丁原、董卓、呂布。下邳之戰後，歸順曹操。
此後隨曹操征討，戰功累累。215年，逍遙津之戰，以七千之衆大破東吳十萬大軍，威震四海。曹丕登基後，仍令張遼守禦孫權。黃初三年，張遼不負衆望，抱病擊破吳將呂範。同年在江都病逝，谥剛侯。",
1081,"蜀郡人，刘璋的部下，任益州别驾。张松长得额秃头尖，鼻偃齿露，身短不满五尺，言语有若铜钟，但很有才干，可过目不忘。
张松奉命出使许都，结果不被曹操礼遇，言语顶撞曹操，被乱棍打出。张松归蜀时途经荆州，为刘备所厚待，于是将西川地理图献予刘备，劝刘备取益州，愿为内应，并派好友孟达、法正帮助刘备。后来，刘备入蜀后假意归还，张松信以为真，写信劝阻，被兄长张肃发现，被告发，全家被杀。","蜀郡人，劉璋的部下，任益州別駕。張松長得額禿頭尖，鼻偃齒露，身短不滿五尺，言語有若銅鍾，但很有才幹，可過目不忘。
張松奉命出使許都，結果不被曹操禮遇，言語頂撞曹操，被亂棍打出。張松歸蜀時途經荊州，爲劉備所厚待，于是將西川地理圖獻予劉備，勸劉備取益州，願爲內應，並派好友孟達、法正幫助劉備。後來，劉備入蜀後假意歸還，張松信以爲真，寫信勸阻，被兄長張肅發現，被告發，全家被殺。",
1082,"字子布。三国时期孙吴重臣，善隶书，为避战乱而南渡至扬州。
孙策创业时，任命其为长史、抚军中郎将，将文武之事都委任于张昭。孙策临死前，将其弟孙权托付给张昭，张昭率群僚辅立孙权，并安抚百姓、讨伐叛军，帮助孙权稳定局势。赤壁之战时，张昭持主降论。孙权代理车骑将军时，任命张昭为军师。孙权被封为吴王后，参与撰定朝仪。敢于直谏、性格刚直。229年，孙权称帝后，张昭以年老多病为由，上还官位及所统领部属，改封娄侯。晚年时一度不参与政事，在家著书。236年，张昭去世，年八十一，谥号“文”。","字子布。三國時期孫吳重臣，善隸書，爲避戰亂而南渡至揚州。
孫策創業時，任命其爲長史、撫軍中郎將，將文武之事都委任于張昭。孫策臨死前，將其弟孫權托付給張昭，張昭率群僚輔立孫權，並安撫百姓、討伐叛軍，幫助孫權穩定局勢。赤壁之戰時，張昭持主降論。孫權代理車騎將軍時，任命張昭爲軍師。孫權被封爲吳王後，參與撰定朝儀。敢于直谏、性格剛直。229年，孫權稱帝後，張昭以年老多病爲由，上還官位及所統領部屬，改封婁侯。晚年時一度不參與政事，在家著書。236年，張昭去世，年八十一，谥號“文”。",
1083,"字子龙，常山真定人。身长八尺，姿颜雄伟，蜀汉名将，蜀汉五虎将之一。
赵云早先投公孙瓒，后因兄长去世离开，在邺城与刘备相见，从此追随刘备将近三十年。参加过博望坡之战、长坂坡之战、江南平定战，独自指挥过入川之战、汉水之战、箕谷之战，都取得了非常好的战果。除了四处征战，赵云还先后以偏将军任桂阳太守，以留营司马留守公安，以翊军将军督江州。除此，赵云在平定益州时引霍去病故事劝谏刘备将田宅归还百姓，又在关羽张飞被害之后劝谏刘备不要伐吴，被后世赞为有大臣局量的儒将。于建兴七年寿终正寝。公元261年，刘禅下令追谥赵云为顺平侯。","字子龍，常山真定人。身長八尺，姿顔雄偉，蜀漢名將，蜀漢五虎將之一。
趙雲早先投公孫瓒，後因兄長去世離開，在邺城與劉備相見，從此追隨劉備將近三十年。參加過博望坡之戰、長坂坡之戰、江南平定戰，獨自指揮過入川之戰、漢水之戰、箕谷之戰，都取得了非常好的戰果。除了四處征戰，趙雲還先後以偏將軍任桂陽太守，以留營司馬留守公安，以翊軍將軍督江州。除此，趙雲在平定益州時引霍去病故事勸谏劉備將田宅歸還百姓，又在關羽張飛被害之後勸谏劉備不要伐吳，被後世贊爲有大臣局量的儒將。于建興七年壽終正寢。公元261年，劉禅下令追谥趙雲爲順平侯。",
1084,中山无极人，甄逸的五女，曹叡之母，洛神的原型，又称甄夫人。本为袁熙之妻，曹操军攻下邺城后即被曹丕夺去。即位后追尊甄氏为文昭皇后。,中山無極人，甄逸的五女，曹叡之母，洛神的原型，又稱甄夫人。本爲袁熙之妻，曹操軍攻下邺城後即被曹丕奪去。即位後追尊甄氏爲文昭皇後。,
1085,"小说《三国演义》中的人物，关羽副将，真实历史上不存在。
形象为身材高大、黑面虬髯的关西大汉。民间传说中，周仓均以关羽护卫的形象出现，在各地的关帝庙中，关羽神像的两侧也经常供奉周仓、关平的神像。周仓初为黄巾张宝将，张宝死，同裴元绍啸聚卧牛山。仓两臂有千斤之力，多曾与元绍说关羽盛名，恨无门路相见。羽千里寻兄，先遇元绍，后见仓持枪乘马而来，仓自此相随。后元绍欲舵赵云马匹，为云所杀，仓为云连胜数次，身中三枪。仓随羽转战天下，与羽单刀赴会，引军助羽。后随征樊城，水淹七军后生擒庞德。羽兵败突围，仓守麦城，闻羽被害，自戕。","小說《三國演義》中的人物，關羽副將，真實曆史上不存在。
形象爲身材高大、黑面虬髯的關西大漢。民間傳說中，周倉均以關羽護衛的形象出現，在各地的關帝廟中，關羽神像的兩側也經常供奉周倉、關平的神像。周倉初爲黃巾張寶將，張寶死，同裴元紹嘯聚臥牛山。倉兩臂有千斤之力，多曾與元紹說關羽盛名，恨無門路相見。羽千裏尋兄，先遇元紹，後見倉持槍乘馬而來，倉自此相隨。後元紹欲舵趙雲馬匹，爲雲所殺，倉爲雲連勝數次，身中三槍。倉隨羽轉戰天下，與羽單刀赴會，引軍助羽。後隨征樊城，水淹七軍後生擒龐德。羽兵敗突圍，倉守麥城，聞羽被害，自戕。",
1086,字幼平，九江下蔡人。三国时期吴国武将，孙策平定江东时与蒋钦一起加入孙策军，随孙策左右，后孙权爱其为人，向孙策请求让周泰跟随自己。周泰多次于战乱当中保护孙权的安危，身上受的伤多达几十处，就像在皮肤上雕画一样，吴将朱然、徐盛等因此对其拜服。后来孙权为了表彰周泰为了东吴出生入死的功绩，而赐给他青罗伞盖。官至汉中太守、奋威将军，封陵阳侯。死于黄武中年，有子周邵，亦数有战功，死于黄龙二年，周邵的弟弟周承继承了兵权和爵位。,字幼平，九江下蔡人。三國時期吳國武將，孫策平定江東時與蔣欽一起加入孫策軍，隨孫策左右，後孫權愛其爲人，向孫策請求讓周泰跟隨自己。周泰多次于戰亂當中保護孫權的安危，身上受的傷多達幾十處，就像在皮膚上雕畫一樣，吳將朱然、徐盛等因此對其拜服。後來孫權爲了表彰周泰爲了東吳出生入死的功績，而賜給他青羅傘蓋。官至漢中太守、奮威將軍，封陵陽侯。死于黃武中年，有子周邵，亦數有戰功，死于黃龍二年，周邵的弟弟周承繼承了兵權和爵位。,
1087,"字公瑾，东汉末年名将，安徽庐江舒县人。洛阳令周异之子，堂祖父周景、堂叔周忠，都官至太尉。长壮有姿貌、精音律，江东有“曲有误，周郎顾”之语。
周瑜少与孙策交好，21岁起随孙策奔赴战场平定江东，后孙策遇刺身亡，孙权继任，周瑜将兵赴丧，以中护军的身份与长史张昭共掌众事。208年，周瑜率江东孙氏集团军队与刘备军队联合，赤壁之战大败曹军，由此奠定了三分天下的基础。209年，拜偏将军领南郡太守。210年病逝于巴丘，年仅36岁。正史上周瑜“性度恢廓”“实奇才也”，孙权称赞周瑜有“王佐之资”，位列唐武庙六十四将、宋武庙七十二将之一。","字公瑾，東漢末年名將，安徽廬江舒縣人。洛陽令周異之子，堂祖父周景、堂叔周忠，都官至太尉。長壯有姿貌、精音律，江東有“曲有誤，周郎顧”之語。
周瑜少與孫策交好，21歲起隨孫策奔赴戰場平定江東，後孫策遇刺身亡，孫權繼任，周瑜將兵赴喪，以中護軍的身份與長史張昭共掌衆事。208年，周瑜率江東孫氏集團軍隊與劉備軍隊聯合，赤壁之戰大敗曹軍，由此奠定了三分天下的基礎。209年，拜偏將軍領南郡太守。210年病逝于巴丘，年僅36歲。正史上周瑜“性度恢廓”“實奇才也”，孫權稱贊周瑜有“王佐之資”，位列唐武廟六十四將、宋武廟七十二將之一。",
